Année;Groupe;Type;Durée;Matière;Contenu;Enseignant;Type ens;Salle INFO;Evaluation;Charge;Date affectée;Créneau;Salles;ID;ID relu;Date changée;Créneau changé;Enseignant changé;Salle changée;Evaluation changée
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;24/06/2024;AM-1;;2§24.0%0;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;24/06/2024;PM-5;;2§24.0%1;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;25/06/2024;AM-1;;2§24.0%2;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;25/06/2024;PM-5;;2§24.0%3;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;26/06/2024;AM-1;;2§24.0%4;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;26/06/2024;PM-5;;2§24.0%5;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;27/06/2024;AM-1;;2§24.0%6;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;27/06/2024;PM-5;;2§24.0%7;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;28/06/2024;AM-1;;2§24.0%8;;;;;;
BUT1;;CM;4;Pas de cours;Stage facultatif de BUT1;admin;T;Faux;Faux;Faux;28/06/2024;PM-5;;2§24.0%9;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;24/06/2024;AM-1;;2§24.0%10;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;24/06/2024;PM-5;;2§24.0%11;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;25/06/2024;AM-1;;2§24.0%12;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;25/06/2024;PM-5;;2§24.0%13;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;26/06/2024;AM-1;;2§24.0%14;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;26/06/2024;PM-5;;2§24.0%15;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;27/06/2024;AM-1;;2§24.0%16;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;27/06/2024;PM-5;;2§24.0%17;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;28/06/2024;AM-1;;2§24.0%18;;;;;;
BUT2;;CM-co;4;Pas de cours;Stage/alternance obligatoire de BUT2;admin;T;Faux;Faux;Faux;28/06/2024;PM-5;;2§24.0%19;;;;;;
BUT3;;CM-co;4;Réunion;Soutenances de stage et apprentissage BUT3;admin;T;Faux;Faux;Faux;24/06/2024;AM-1;(cours-td);2§24.1%0;;;;;;
BUT3;;CM-co;4;Réunion;Soutenances de stage et apprentissage BUT3;admin;T;Faux;Faux;Faux;24/06/2024;PM-5;(cours-td);2§24.1%1;;;;;;
BUT3;;CM-co;4;Réunion;Soutenances de stage et apprentissage BUT3;admin;T;Faux;Faux;Faux;25/06/2024;AM-1;(cours-td);2§24.1%2;;;;;;
BUT3;;CM-co;4;Réunion;Soutenances de stage et apprentissage BUT3;admin;T;Faux;Faux;Faux;25/06/2024;PM-5;(cours-td);2§24.1%3;;;;;;
BUT3;;CM-co;4;Réunion;Soutenances de stage et apprentissage BUT3;admin;T;Faux;Faux;Faux;26/06/2024;AM-1;(cours-td);2§24.1%4;;;;;;
BUT3;;CM-co;4;Réunion;Soutenances de stage et apprentissage BUT3;admin;T;Faux;Faux;Faux;26/06/2024;PM-5;(cours-td);2§24.1%5;;;;;;
FIN;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
