Année;Groupe;Type;Durée;Matière;Contenu;Enseignant;Type ens;Salle INFO;Evaluation;Charge;Date affectée;Créneau;Salles;ID
BUT1;G1;TD;2;R2.01;gestion de projet et GANTT;AC;V;Vrai;Vrai;Faux;23/01/2024;AM-3a;;2§2.1
BUT1;G2;TD;2;R2.01;gestion de projet et GANTT;AC;V;Vrai;Vrai;Faux;23/01/2024;AM-1a;;2§2.2
BUT1;G1;TD;2;R2.01;Power BI, ArcGIS,;IU;T;Vrai;Faux;Faux;25/01/2024;AM-1a;;2§2.3
BUT1;G2;TD;2;R2.01;Power BI, ArcGIS,;IU;T;Vrai;Faux;Faux;25/01/2024;PM-7a;;2§2.4
BUT1;G1;TD;2;R2.02;;IU;T;Vrai;Faux;Faux;25/01/2024;AM-3a;;2§2.5
BUT1;G2;TD;2;R2.02;;IU;T;Vrai;Faux;Faux;23/01/2024;PM-5a;;2§2.6
BUT1;G1;TP;2;R2.03;;PDS;T;Vrai;Faux;Faux;22/01/2024;AM-3a;;2§2.7
BUT1;G2;TP;2;R2.03;;PDS;T;Vrai;Faux;Faux;24/01/2024;PM-5a;;2§2.8
BUT1;G1;TP;2;R2.07;;TS;T;Faux;Faux;Faux;25/01/2024;PM-5a;;2§2.9
BUT1;G2;TP;2;R2.07;;TS;T;Faux;Faux;Faux;25/01/2024;AM-3a;;2§2.10
BUT1;;CM;2;R2.08;;PDS;T;Faux;Faux;Faux;24/01/2024;PM-7a;;2§2.11
BUT1;G1;TD;2;R2.09;;MAB;V;Faux;Faux;Faux;26/01/2024;AM-1a;;2§2.12
BUT1;G2;TD;2;R2.09;;MAB;V;Faux;Faux;Faux;26/01/2024;AM-3a;;2§2.13
BUT1;;CM;2;R2.10;;AC;V;Faux;Faux;Faux;23/01/2024;PM-7a;;2§2.14
BUT1;G1;TP;2;R2.10;tableau;AG;V;Vrai;Faux;Faux;23/01/2024;AM-1a;;2§2.15
BUT1;G2;TP;2;R2.10;tableau;AG;V;Vrai;Faux;Faux;22/01/2024;AM-1a;;2§2.18
BUT1;G1;TP;2;R2.10;tableau;AG;V;Vrai;Faux;Faux;22/01/2024;PM-5a;;2§2.16
BUT1;G2;TP;2;R2.10;tableau;AG;V;Vrai;Faux;Faux;23/01/2024;AM-3a;;2§2.19
BUT1;G1;TP;2;R2.10;tableau;AG;V;Vrai;Faux;Faux;22/01/2024;PM-7a;;2§2.17
BUT1;G2;TP;2;R2.10;tableau;AG;V;Vrai;Faux;Faux;22/01/2024;AM-3a;;2§2.20
BUT1;G1;TD;2;R2.11;;CF;V;Faux;Faux;Faux;24/01/2024;AM-3a;;2§2.21
BUT1;G2;TD;2;R2.11;;CF;V;Faux;Faux;Faux;24/01/2024;AM-1a;;2§2.22
BUT1;G1;TD;2;R2.11;;AS;V;Faux;Faux;Faux;26/01/2024;AM-3a;;2§2.23
BUT1;G2;TD;2;R2.11;;AS;V;Faux;Faux;Faux;26/01/2024;AM-1a;;2§2.24
BUT2;;CM-co;2;R4.01;procédures  stockées;MK;T;Vrai;Faux;Faux;25/01/2024;AM-3a;;2§2.25
BUT2;EMS;TP;2;R4.01;procédures  stockées;MK;T;Vrai;Faux;Faux;24/01/2024;AM-3a;;2§2.26
BUT2;VCOD;TP;2;R4.01;procédures  stockées;MK;T;Vrai;Faux;Faux;23/01/2024;AM-1a;;2§2.44
BUT2;;CM-co;2;R4.01;tests, SE;IU;T;Vrai;Faux;Faux;25/01/2024;PM-5a;;2§2.27
BUT2;;CM-co;2;R4.02;;SVP;T;Vrai;Faux;Faux;24/01/2024;AM-1a;;2§2.28
BUT2;EMS;TD;2;R4.02;;SVP;T;Vrai;Faux;Faux;23/01/2024;AM-1a;;2§2.29
BUT2;VCOD;TD;2;R4.02;;SVP;T;Vrai;Faux;Faux;22/01/2024;AM-1a;;2§2.45
BUT2;EMS;TD;2;R4.02;;SVP;T;Vrai;Faux;Faux;24/01/2024;PM-5a;;2§2.30
BUT2;VCOD;TD;2;R4.02;;SVP;T;Vrai;Faux;Faux;22/01/2024;AM-3a;;2§2.46
BUT2;EMS;TD;2;R4.02;;SVP;T;Vrai;Faux;Faux;23/01/2024;AM-3a;;2§2.31
BUT2;VCOD;TD;2;R4.02;;SVP;T;Vrai;Faux;Faux;22/01/2024;PM-7a;;2§2.47
BUT2;;CM-co;2;SAE4-2 ;projet senso;SVP;T;Vrai;Faux;Faux;25/01/2024;AM-1a;;2§2.36
BUT2;;CM-co;2;R4.05;;FA;V;Faux;Faux;Faux;23/01/2024;PM-7a;;2§2.32
BUT2;EMS;TD;2;R4.05;;FA;V;Vrai;Faux;Faux;23/01/2024;PM-5a;;2§2.33
BUT2;VCOD;TD;2;R4.05;;FA;V;Vrai;Faux;Faux;23/01/2024;AM-3a;;2§2.48
BUT2;EMS;TD;2;R4.06;;CF;V;Faux;Faux;Faux;24/01/2024;PM-7a;;2§2.34
BUT2;VCOD;TD;2;R4.06;;CF;V;Faux;Faux;Faux;24/01/2024;PM-5a;;2§2.49
BUT2;EMS;CM;2;R4.EMS.08;;TS;T;Faux;Faux;Faux;25/01/2024;PM-7a;;2§2.35
BUT2;EMS;CM;2;SAE4-EMS.1 ;;TS;T;Faux;Faux;Faux;26/01/2024;PM-5a;;2§2.37
BUT2;EMS;TD;2;SAE4-EMS.1 ;;ATER;T;Faux;Faux;Faux;22/01/2024;AM-3a;;2§2.38
BUT2;EMS;TD;2;SAE4-EMS.1 ;;ATER;T;Faux;Faux;Faux;22/01/2024;AM-1a;;2§2.39
BUT2;EMS;TD;1;SAE4-EMS.1 ;;ATER;T;Faux;Faux;Faux;22/01/2024;PM-5a;;2§2.40
