Année;Groupe;Type;Durée;Matière;Contenu;Enseignant;Type ens;Salle INFO;Evaluation;Charge;Date affectée;Créneau;Salles;ID
BUT1;G1;TD;2;R2.01;Power BI, ArcGIS,;IU;T;Vrai;Faux;Faux;22/01/2024;PM-3a;A118;2§3.1
BUT1;G2;TD;2;R2.01;Power BI, ArcGIS,;IU;T;Vrai;Faux;Faux;25/01/2024;PM-1a;A118;2§3.2
BUT1;G1;TD;2;R2.02;;IU;T;Vrai;Faux;Faux;22/01/2024;AM-1a;A119;2§3.3
BUT1;G2;TD;2;R2.02;;IU;T;Vrai;Faux;Faux;22/01/2024;AM-3a;A118;2§3.4
BUT1;G1;TD;2;R2.03;;PDS;T;Vrai;Faux;Faux;24/01/2024;PM-3a;C204;2§3.5
BUT1;G2;TD;2;R2.03;;PDS;T;Vrai;Faux;Faux;23/01/2024;PM-2a;C204;2§3.6
BUT1;;CM;2;R2.08;;PDS;T;Faux;Faux;Faux;23/01/2024;AM-3a;A110;2§3.10
BUT1;;CM;2;R2.04;R;PDS;T;Faux;Faux;Faux;23/01/2024;AM-1a;A110;2§3.7
BUT1;G1;TD;2;R2.07;;TS;T;Faux;Faux;Faux;23/01/2024;PM-3a;A118;2§3.8
BUT1;G2;TD;2;R2.07;;TS;T;Faux;Faux;Faux;26/01/2024;PM-2a;A118;2§3.9
BUT1;G1;TP;2;R2.09;;MAB;V;Faux;Faux;Faux;26/01/2024;AM-3a;A017;2§3.11
BUT1;G2;TP;2;R2.09;;MAB;V;Faux;Faux;Faux;26/01/2024;AM-1a;A017;2§3.12
BUT1;G1;TD;2;R2.11;;CF;V;Faux;Faux;Faux;24/01/2024;AM-1a;A119;2§3.13
BUT1;G2;TD;2;R2.11;;CF;V;Faux;Faux;Faux;24/01/2024;AM-3a;A119;2§3.14
BUT1;G1;TD;2;R2.11;;AS;V;Faux;Faux;Faux;26/01/2024;AM-1a;A119;2§3.15
BUT1;G2;TD;2;R2.11;;AS;V;Faux;Faux;Faux;26/01/2024;AM-3a;A119;2§3.16
BUT2;;CM-co;2;R4.02;;SVP;T;Vrai;Faux;Faux;22/01/2024;AM-1a;A017;2§3.17
BUT2;EMS;TD;2;R4.02;;SVP;T;Vrai;Faux;Faux;26/01/2024;PM-3a;C202;2§3.18
